Transaction Type,Transaction ID,Tax lot ID,Asset name,Amount,Date Acquired,Cost basis (USD),Date of Disposition,Proceeds (USD),Gains (Losses) (USD),Holding period (Days),Data source
Trade,734fa91c-d560-5765-9fe3-f7fda5794c37,e083e344-7b7d-453a-aafc-0ddfeced1ef8,00,388233.10000000015,12/29/2023,29363.15153374985,,29685.958538386996,322.80700463714874,95,Coinbase
Trade,8c5981c6-68d2-5208-8a15-844a58aef293,902cbede-9e19-4ff6-a36d-71711ba997e9,A8,0.06,08/01/2024,0.008244,,0.006768,-0.001476,120,Coinbase
Trade,1630de2f-3da2-599f-a25f-f7086c3d967e,0984fbb6-3ca5-4394-8c99-824516e64676,AAVE,19.904,08/04/2024,1998.95872,,2009.3087999999998,10.35008,0,Coinbase
Sell,f3d5aa3c-2199-551c-bb73-585d1b1d39c5,e76c32f0-c8c1-479f-a02f-7f74e9bac539,ABT,2839.0000000000005,05/10/2024,8873.311950000001,,8933.347084999998,60.03513500000001,0,Coinbase
Sell,89214338-adc6-519b-80b9-84245db737c9,2becb04a-8b84-4dff-aa3c-f78cd90da666,ADA,605.49,01/07/2024,299.993958877,,307.13158129320004,7.137622416200001,1,Coinbase
Trade,3dd19857-3abc-5c5c-b411-a7bc741267e2,cc616ab4-7fc1-4d60-b969-0e37d36a2d28,AERGO,9470.500000000002,04/11/2024,1930.3117949999998,,2091.36497,161.05317499999998,0,Coinbase
Trade,754a45d5-5aaa-5a38-972b-6ff782a1c2b8,14bf71c8-2e2e-4dde-aec4-da015db2b4a5,AERO,1524.9,02/07/2024,143.8671098475,,214.08549537375,70.21838552625,19,Coinbase
Trade,9f4fe234-79d4-5a5f-871d-f5da5d86977c,124a1f9d-356b-47b9-a145-1d6599323beb,AIOZ,68702.79999999999,11/12/2024,47030.87890231081,,45635.656705,-1395.2221973108062,16,Coinbase
Sell,f6ac1c42-e94c-58b0-9560-604af9818357,ba1efa1e-ae9e-464d-a150-df1479fb6c42,AKT,0.7799999999999999,04/30/2024,2.9954614640000004,,2.70036,-0.295101464,74,Coinbase
Sell,216763e0-1918-593f-ad1b-3c874f6185aa,0df2f883-2972-4931-b7ad-bf922b6a3e9c,ALEPH,5803.0,12/28/2023,1003.161528995,,1031.142289725,27.98076073,5,Coinbase
Trade,4b09b977-faa9-5d0a-8ccb-fcfddac4b878,4ecb9fa8-f468-4186-9860-e99568e0c5e7,ALGO,525.8,11/29/2024,199.40965,,201.85462,2.44497,0,Coinbase
Trade,2bd2abef-6609-5364-9837-d8786c22f118,ca9608d5-ebc6-4e57-93af-e6b2c7b7ff72,API3,114.02,05/03/2024,273.02089,,271.19657,-1.82432,1,Coinbase
Trade,34f1a009-564b-5bed-ae4d-6846a09794f8,175ac0cc-365c-4119-9083-e6d80cbca83d,APT,39.394999999999996,03/08/2024,498.8969996625,,639.971775,141.0747753375,16,Coinbase
Trade,d26fd5bc-3687-50fc-9c77-5addb195fbdf,cff76a2b-3ab0-4c16-94c0-aaed29f34a5e,ARB,5219.06,07/18/2024,4996.871166,,5207.799029499999,210.9278635,127,Coinbase; Not available
Trade,23e59e74-bcbb-51a6-96c9-838cb97218b4,3a8a424a-13dc-4728-9719-c7c649afd0a3,ASM,213484.0,08/24/2024,6378.366265000001,,5708.054839999999,-670.3114250000001,10,Coinbase
Trade,b18d8dbb-caa1-534f-97a5-c7612aba918c,483b14f9-0b39-4c8d-babb-2624cf4b9cc0,AST,74077.00000000001,05/25/2024,11127.230009999997,,10476.508539999999,-650.7214700000001,42,Coinbase
Trade,3ef6fa94-4f89-55a2-9038-075e33d816b6,c3c55af8-b05b-43ef-a627-aa99b95f5307,ATOM,1359.5300000000009,12/21/2022,10628.680551339441,,11335.462245,706.7816936605592,702,Coinbase; Not available
Trade,e6710343-cf8f-5988-bba4-4eda992362e0,3dfdbed1-e242-49e6-a86c-8affab52b29b,AUCTION,82.76400000000001,09/13/2024,1195.1225600000002,,1204.7405250000002,9.617964999999998,12,Coinbase
Trade,b3a4ac69-7e51-51cd-b062-8a2a2dda2b98,d2fe819a-191d-450b-a771-010cf4d2ceb5,AURORA,3245.9499999999994,04/14/2024,853.7214650000002,,855.7910149999999,2.06955,0,Coinbase
Trade,1f8a25fb-fe48-58ce-827a-e2a9e0fd90f9,241c9959-38c7-4310-b693-870711559897,AVAX,356.99504683999993,04/15/2024,13030.839077233002,,13194.862801829955,164.02372459695385,0,Coinbase
Trade,fd8b6219-113b-5c7f-9eb0-27b950f84ec8,6ee4498f-8db2-4752-a709-1a82b1e4c2ba,AVT,877.78,12/04/2024,1841.52964325,,1884.4938233500002,42.9641801,0,Coinbase
Trade,9f21b842-6e2e-5c59-aa02-f4b5634ca95a,86bb63bf-7c11-49b3-8c83-fe917210e1e3,BAT,465.61,11/24/2024,150.4246227,,145.97106305,-4.45355965,5,Coinbase
Trade,ea3e82eb-0f3a-56d1-b51d-c02888e68f60,073146ab-bba5-46b2-a147-774f1616bbdb,BCH,78.42391886999997,04/07/2024,46841.987268888624,,47321.9139109059,479.92664201731026,6,Coinbase
Trade,e212fa6f-4345-5024-aaf2-46611895eaec,8cd71fa0-88af-4b0b-9dfc-713efdb34ea9,BICO,2335.74,04/06/2024,1772.8628520000002,,1767.5077070000002,-5.355145,0,Coinbase
Sell,c20dbbf0-ff95-5f4d-84a1-faefb4d97a31,2a87df8f-985c-4801-a435-8e58dac69ffa,BIGTIME,99123.0,12/18/2023,12337.124952084228,,12385.606246475003,48.4812943907675,14,Coinbase
Trade,04e35a76-357f-59b3-9ed0-a0b297676fed,27f505f9-2b47-4989-a8aa-c1b843544e0c,BIT,281.3,02/25/2024,255.4244436875,,324.25847661374996,68.83403292624999,1,Coinbase
Trade,51b84ea1-57e8-55aa-a5fa-ff6cc3901653,24c1e3b6-dd55-4110-8d89-98c0711c99c8,BLUR,12535.500000000002,12/14/2024,5282.5929486875,,4882.314245615,-400.27870307250004,5,Coinbase
Trade,293d96c4-211e-5042-85eb-442ee0043bbf,3506a554-0b53-4844-abac-977c790c76f3,BNT,60458.10120199999,12/12/2023,47784.02212378669,,48298.94943781029,514.9273140235788,129,Coinbase
Trade,eccde968-42e7-54d9-8476-c4ebb4994708,bb5466a1-7ff9-4b3f-b325-ae9dd9eaf09a,BOBA,800.6,09/30/2024,199.344235,,154.23559,-45.108644999999996,26,Coinbase
Trade,93fd0180-52a6-576b-83a2-a109b35f7a79,67095d35-4233-4ef3-9dd0-9b80eedd41d5,BONK,1017613648.0,12/31/2023,19522.68952244307,,19649.995075493698,127.30555305064013,59,Coinbase
Sell,b3222a3a-bde7-5604-930e-d20ea0aea712,52bda6d4-b611-41cc-9e1b-3614ced1a564,BTC,1.9087943127839997,12/31/2023,102432.29586497053,,104506.22044167627,2073.924576705603,1,Coinbase; Not available
Trade,3142a1fc-f5ae-5b6a-9b72-308b26b96d4d,48ec4db0-2772-494b-84b2-4fbcf1de5cb0,CRO,128779.89999999998,05/21/2024,18185.69803242001,,18990.080650449996,804.3826180300001,0,Coinbase
Trade,7c116e1f-98e4-50d6-a103-3f4e357fc23b,01425ce2-ab02-43c0-aceb-9d224a0e9b07,CVX,960.671,04/07/2024,3492.7241635000005,,3507.085882,14.361718499999998,0,Coinbase
Sell,e51f2974-9397-5c8b-8dcf-56d9b4c3b639,74ba92c3-2d36-4d5f-bef7-e27e45e96f3b,DAR,18599.11,06/17/2024,2490.994105,,2321.17839,-169.81571499999998,7,Coinbase
Sell,3afdaad0-7e4e-56d7-a379-95b4eab23dce,87664139-5d81-4eab-9a56-95a3eda3e8af,DIA,367.86,12/31/2023,187.1189296266,,184.27178019744,-2.84714942916,2,Coinbase
Trade,59eb551e-f783-5413-aab6-e0006fffa164,8f4ee9ec-0ac3-4275-9b7d-08f166904d91,DNT,29132.600000000002,07/26/2024,1245.41865,,1303.0498400000001,57.63119,2,Coinbase
Trade,c8807981-5194-5b59-a388-91c2c4f7e2d9,1e623e51-ecb5-4ad8-899f-5a53fc240c42,DOGE,433421.1000000001,12/07/2024,75945.80808644526,,74760.18226319297,-1185.6258232522505,1,Coinbase
Trade,c60f9cbe-11df-5f9d-93ea-281e982bb4dc,4ea702c8-7a07-4339-9adf-0c0eb8a3919b,DYP,24812.999999999978,08/04/2024,11074.987315499986,,10213.34885249999,-861.6384630000002,0,Coinbase
Sell,f196e150-541f-5681-b39a-baf97fd64aa1,020aded9-5e98-4df8-a588-da146e0170a4,ENJ,209352.4299999997,05/27/2024,95726.67143839748,,95961.44064257006,234.76920417249943,4,Coinbase
Trade,833f2822-7a57-5971-926d-c3f20329a281,4e800a8b-7c88-453d-bb28-aa12cba4afbb,EOS,23168.2,11/12/2024,15214.700931804999,,14769.505683750003,-445.1952480549999,1,Coinbase
Trade,baad5c87-0b86-526b-a1be-a7c5acce3045,5b87af52-a2c2-4bec-8d63-50b389a6aa3c,ERN,218.397,11/27/2024,600.0300171000001,,597.1887052,-2.841311900000001,1,Coinbase
Trade,397aded7-e341-50bd-95cd-e0554ce10183,4b4852f8-b054-4b78-b82e-f428cf7ce761,ETH,10.074412079999998,12/03/2024,18956.59328974165,,28190.721956537367,9234.128666795717,0,Coinbase; Not available
Trade,2e21eb09-4dce-5918-88a2-fc5885fe9535,2acccaef-820a-41e5-b85b-4d4ee0f2ac8a,FARM,333.25399999999996,05/09/2024,25926.298693,,26332.593549,406.294856,43,Coinbase
Trade,89c5fa5d-5054-51fd-806b-02133c772c99,27fef913-b1ac-4a72-b917-e73a72e7e318,FET,1558.5,11/26/2024,2131.88133,,2243.7727050000003,111.89137500000001,2,Coinbase
Trade,a76671a8-0904-5a26-818c-8a1e92d48e55,356b8975-03f4-43a3-b22a-801e71329b49,FIDA,51790.57999999997,06/20/2024,18509.5463625,,17638.604558499992,-870.9418040000005,12,Coinbase
Trade,d7c76293-a1cd-5bf2-bbda-4d4f0be5ee29,89ecb31c-a473-4959-b24c-9da52ef4029f,FIL,36892.38299999999,11/25/2024,274118.52464556735,,274848.6808521802,730.156206612686,3,Coinbase
Trade,8dc61d0a-2db6-5c2a-96a1-c18b8e74e7d7,d0980083-ad48-451c-8aa0-b84eaaf1b119,FIS,3334.6000000000004,04/21/2024,1992.75696,,1845.2959449999998,-147.461015,46,Coinbase
Trade,82b76e1d-99df-5396-9350-8726447deb57,c583af57-4eed-4550-a472-0c51c6acb899,FORT,97455.96,12/21/2023,20570.635046577456,,20674.029658500003,103.39461192254083,114,Coinbase
Trade,e7105fc4-1a3d-55c6-afbe-be53fcf1c502,8037e6cc-e59a-4a80-b435-1cd84bcbb3a6,FORTH,3143.893000000001,04/02/2024,17944.330124972494,,19301.249823959995,1356.9196989875,4,Coinbase
Trade,47f17c7e-4fef-578e-bf0a-09d9530a9b82,58752c65-651c-4a54-a774-5ad1655e6941,FOX,86363.80000000003,08/25/2024,6958.285310000002,,7046.926989999996,88.64167999999998,61,Coinbase
Trade,892d3694-c6e9-524a-8daf-5ed20e0d26bd,93b14eb9-3d22-4e55-995f-cb1f23c83182,FX,55866.600000000006,12/22/2023,10166.978445792502,,11163.502658024998,996.5242122325005,96,Coinbase
Trade,b1aecb92-8bb6-599a-b42a-8eef3f7d9923,994bcc28-66d0-4557-b775-b85629c6d30a,GFI,2639.920000000001,04/27/2024,10394.836975500002,,10471.019609500001,76.18263399999998,0,Coinbase
Trade,bac65887-27d0-52fa-8549-385d21a167a2,df8842d3-9750-481f-923f-747d88c56194,GHST,6409.7699999999995,06/14/2024,9661.841145,,9070.384055000002,-591.45709,20,Coinbase
Sell,26abf7e5-42d8-5013-814f-d3296dcaada7,867ae8e7-0cbd-4c15-8062-0cc5221ff488,GMT,683.56,01/07/2024,293.4272914252,,290.5236529866,-2.9036384386000003,0,Coinbase
Trade,76d44be3-82cf-57e0-91a1-08218b338235,3cd5784c-e9a5-40cd-a52c-c14cf2cc2056,GODS,1063.6399999999999,11/18/2024,248.71230905,,254.74177999999998,6.02947095,11,Coinbase
Trade,ba49899f-8382-515f-9dbb-191d4ea80c03,65bf4176-3731-456b-b2d6-9c0b13886c5b,GST,1330182.4499999997,12/06/2024,25540.924317165624,,25692.483877040362,151.55955987474016,6,Coinbase
Trade,96a1d658-bbe8-53c2-bfb0-9d551d92d8f3,67c1fadb-e075-4a5e-814d-173e471271be,GTC,24811.020000000015,08/29/2024,21883.8007,,20804.601250000007,-1079.1994500000003,92,Coinbase
Trade,3e3455af-1450-5036-8c64-ab2e3ec307b5,96f2e3db-9327-4080-b644-590199d97b4d,GYEN,2870.0,12/22/2023,19.99816,,18.723508000000002,-1.2746520000000001,102,Coinbase
Sell,1be732ef-c36c-5252-ab27-d2f23424eb1d,52e569bf-7c93-4a31-9500-8776f60e452f,HONEY,7013.5,03/27/2024,1079.85775621,,890.70536573,-189.15239048,17,Coinbase
Trade,cf2787dc-7f5c-5a24-b9c8-377a9b22b991,ad1ff7cb-0dfe-479f-9bb5-cbe3936943b9,HOPR,107902.1,11/23/2024,9069.059937400001,,8671.740021000005,-397.31991639999995,2,Coinbase
Sell,104783be-5ed2-5042-a627-a466044bb5c5,8930668b-b150-4b2a-ab6c-b19649fa0e97,ICP,10.0,01/03/2024,144.63117100000002,,134.93592722688,-9.695243773120001,1,Coinbase
Trade,c6e35fed-11be-59b5-83d3-d68db6b99d96,cb5ed090-c1c9-41e0-83d1-41a165d632ba,IDEX,72392.1,07/02/2024,3116.9588899999985,,3092.3135050000005,-24.645385000000008,0,Coinbase
Trade,d31b3a9e-8484-5938-ac54-7cc0bfe092c0,f6e56c6e-53b3-4b42-b33b-d2719324b5af,ILV,36.9067,08/20/2024,1576.6330384999999,,1598.9604115000004,22.327373000000005,1,Coinbase
Trade,ee29a700-1b87-5ab8-a855-d0bdbb6b8042,320d258d-305b-4efc-9f8b-f901e72a4462,IMX,916.62,04/21/2024,2001.384651,,2081.460696,80.076045,1,Coinbase
